,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_22,ID_23,ID_24,ID_25,ID_26,ID_29,ID_30,ID_31,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38
ID_0,0.0,0.10015220626807093,0.18812165096772374,0.3360610729671676,0.441471802327511,0.5315140072634759,0.5929759091632307,0.13136537073954882,0.08726716882368563,0.21107987270717649,0.32230334849566206,0.4638498491878893,0.5460253213118803,0.5991119744847015,0.22319383325225756,0.11839979763313331,0.27895996074293294,0.41236930635727137,0.49629828878020305,0.618916325344271,0.6335591229718378,0.4140234702158834,0.48110442878194015,0.5518153992749774,0.6411698651644138,0.6455643629520367,0.6539163516403065,0.6582622929161187,0.653750437214388,0.6933777985435391,0.6847354470947858,0.6783925371211184,0.8059572384529577,0.7426024089647797,0.7094260464171374
ID_1,0.10015220626807093,0.0,0.08809517446938049,0.23639503356657346,0.3421717831112823,0.4321444030401565,0.4937945605718383,0.22674619533288373,0.0902101211850823,0.12408512795978155,0.22427357965166636,0.363948935566658,0.446504502398013,0.4998036406951589,0.31901374880451194,0.1459818638876287,0.20511720863739527,0.3199251407076838,0.3991193405100009,0.5192696364700952,0.5339953074911503,0.3431570103240457,0.38747278305547456,0.4536819525842807,0.5414671162102431,0.5458971985669001,0.5552757753122455,0.5588573595215486,0.5540489755762683,0.5987046860677262,0.5877961366685805,0.5796793456957852,0.7174883649014121,0.6497344017369847,0.6141035891671676
ID_2,0.18812165096772374,0.08809517446938049,0.0,0.14914028543662752,0.25540689501507674,0.3451424446644954,0.4069812202188129,0.3131304816012922,0.1587519320289256,0.07933625370349227,0.1400259541406534,0.2760460404475231,0.3591931044662583,0.41274387164730447,0.40513868989728913,0.21067912737387645,0.165243180721832,0.24369103105545784,0.31508300891127977,0.4313347922225948,0.4462264840060761,0.2958493897110201,0.308577366572289,0.3680260428673107,0.45344027938289305,0.4579472890982563,0.4687067171579544,0.4712473657105804,0.4660143749893861,0.517172505964888,0.5034267953426184,0.4929790149071507,0.6428777934308435,0.5702145929604101,0.5316845909746455
ID_3,0.3360610729671676,0.23639503356657346,0.14914028543662752,0.0,0.10642426827705283,0.1960330822889044,0.2578770113561019,0.46224032068847726,0.3041561077583593,0.17393450038371505,0.07893182999008956,0.1287085719885773,0.2101685672413807,0.26361583883452894,0.5542077728447155,0.3519843294006001,0.21385063177991911,0.17250471323756478,0.1988958537195852,0.28435778691669095,0.29827289608258334,0.29160680879595324,0.21511959093647662,0.2408406687061544,0.3087498472367624,0.31090483679251824,0.3344301716317412,0.33094898508016707,0.3205244082135514,0.4014712157992509,0.3779307578447317,0.35770891660068344,0.5444202711876708,0.45959542837074774,0.41266347505231216
ID_4,0.441471802327511,0.3421717831112823,0.25540689501507674,0.10642426827705283,0.0,0.0900568631434757,0.15166239842562435,0.5683991220151301,0.4100413581402093,0.2746562448151022,0.1575533960879237,0.040462102854105904,0.10506545071197967,0.15773237553136865,0.6603880621258575,0.45676175689816023,0.2965388993591154,0.19465004213916284,0.1615620276599425,0.18426935933807795,0.19577900740756005,0.33698108129716775,0.20230409142755976,0.17888641529645743,0.2127042773082794,0.21027303018177354,0.2539593497489433,0.24164521403801206,0.2227623247953843,0.3407820989841718,0.3069200986330917,0.2748497939345479,0.49533740742902527,0.40168787487504165,0.3477040143820732
ID_5,0.5315140072634759,0.4321444030401565,0.3451424446644954,0.1960330822889044,0.0900568631434757,0.0,0.06210636280764043,0.6581939968039064,0.49852802158523535,0.3596222668723336,0.23732142289907934,0.07647250566657,0.01751475395339026,0.06783370269708441,0.7500915122817877,0.5439479786679521,0.3706437111386948,0.2414777596968672,0.16917494816279102,0.10218673206679928,0.10959947402026064,0.38579529371394156,0.22222887163839702,0.15443316876399277,0.13498943076627776,0.12615133553380542,0.19448182154537227,0.17149588678684213,0.14209997109754235,0.29808855274476737,0.2549764464314518,0.21086963543173312,0.45782057180598984,0.3587951961326141,0.30002536030251603
ID_6,0.5929759091632307,0.4937945605718383,0.4069812202188129,0.2578770113561019,0.15166239842562435,0.06210636280764043,0.0,0.7199901467799712,0.5605303991755101,0.4211299980865924,0.29802660922912916,0.13690725009619273,0.05048446481740777,0.010497946535005768,0.8119317945919535,0.6057798693637371,0.42891776095167017,0.2916766858905489,0.2067839355959385,0.06863996607587751,0.06383802054350847,0.43356232864699695,0.26153918576394986,0.17503435355789074,0.1035096333538917,0.08342996619752249,0.17938082852512813,0.14634438605839029,0.10439966748466208,0.2915619210704972,0.2426090926526421,0.1893816905511951,0.45046153420337276,0.3496772270107919,0.2890851610423521
ID_7,0.13136537073954882,0.22674619533288373,0.3131304816012922,0.46224032068847726,0.5683991220151301,0.6581939968039064,0.7199901467799712,0.0,0.1694500809918717,0.31772056586564573,0.438978474356144,0.5884633212479732,0.6722564330725709,0.7258286040645409,0.09242916798316254,0.14944696541342664,0.36566409557494767,0.5165038833975143,0.6081551957707695,0.7430238306901973,0.7586111136167598,0.4878709692648585,0.5858456895466768,0.6658025043500448,0.763172830829618,0.7695886175281652,0.7690919238567204,0.7770020092228171,0.7763380275032624,0.7975631360710173,0.794424347145917,0.7937565066829105,0.8969478740983655,0.8425720120126263,0.8149656455008352
ID_8,0.08726716882368563,0.0902101211850823,0.1587519320289256,0.3041561077583593,0.4100413581402093,0.49852802158523535,0.5605303991755101,0.1694500809918717,0.0,0.14865131887408448,0.2719564449103298,0.42626955529607985,0.5116818087085245,0.5657401076919503,0.25723370925935496,0.0558515381419622,0.20088383769592577,0.3472864418510638,0.4389205711120976,0.5795030948981754,0.5960215891648614,0.3319637495253415,0.4166381949966321,0.49689315648105026,0.5977469378123118,0.6058658847122813,0.6003956314888989,0.6095711780923251,0.6113320067166614,0.6286652541837084,0.6250404905541278,0.62510058107486,0.732582701125424,0.674708409960151,0.6458907720772372
ID_9,0.21107987270717649,0.12408512795978155,0.07933625370349227,0.17393450038371505,0.2746562448151022,0.3596222668723336,0.4211299980865924,0.31772056586564573,0.14865131887408448,0.0,0.12564391317817694,0.2849878121340799,0.3714202040715919,0.4255002042615852,0.40576750031026687,0.18664065072796115,0.08790803148715884,0.2016847676248457,0.2904466288508882,0.435113883311564,0.45256395888996465,0.22407603845599441,0.270810447733963,0.3482567374935105,0.45137700784327056,0.46115393601504634,0.45177510685619143,0.46152424420578714,0.46531641381832056,0.48324741243128305,0.4772775688514155,0.4764829368963735,0.5962578156053269,0.5317840511939362,0.49978070037831046
ID_10,0.32230334849566206,0.22427357965166636,0.1400259541406534,0.07893182999008956,0.1575533960879237,0.23732142289907934,0.29802660922912916,0.438978474356144,0.2719564449103298,0.12564391317817694,0.0,0.16149007576716504,0.2479655779504793,0.30177535302763103,0.5287806389683611,0.31226202596809144,0.14196868816908742,0.11273468076206422,0.1755848521495103,0.309552090907447,0.3271555487153746,0.21678866816257467,0.17184829399498522,0.22962880594082358,0.3261317580903992,0.335570179975836,0.3317451236103701,0.3381813219513014,0.33992215403670967,0.37782773850276835,0.3639916685382511,0.3562733860349814,0.5083365602543914,0.43182904959578206,0.39205984498834184
ID_11,0.4638498491878893,0.363948935566658,0.2760460404475231,0.1287085719885773,0.040462102854105904,0.07647250566657,0.13690725009619273,0.5884633212479732,0.42626955529607985,0.2849878121340799,0.16149007576716504,0.0,0.08667443688961864,0.1407859176120242,0.6799955858554304,0.4704076607459738,0.2955323880343075,0.17467973963241476,0.12602789980914417,0.156398172109003,0.17096302609634761,0.32027787956698284,0.17147216651882782,0.13920677511939553,0.18097600553661686,0.18283739684352615,0.21596583002781,0.20622980693601045,0.1924290274781927,0.30172031947577443,0.26801356624157374,0.23753248865029997,0.45703926132338085,0.3628047563009866,0.3086606896284753
ID_12,0.5460253213118803,0.446504502398013,0.3591931044662583,0.2101685672413807,0.10506545071197967,0.01751475395339026,0.05048446481740777,0.6722564330725709,0.5116818087085245,0.3714202040715919,0.2479655779504793,0.08667443688961864,0.0,0.05428310863503784,0.7640802037340712,0.5564826101967543,0.3795185156781519,0.2455166107234958,0.16739530465452782,0.08472433909131265,0.0926188974750374,0.3893650056997915,0.22162804854503615,0.14668180699145497,0.1176923379681187,0.10881074645095389,0.17955840178798113,0.15503112263634963,0.12466194595742866,0.2856345858653337,0.2411258355303936,0.19521369977673098,0.44589825862950766,0.3461479800183089,0.28673140144776404
ID_13,0.5991119744847015,0.4998036406951589,0.41274387164730447,0.26361583883452894,0.15773237553136865,0.06783370269708441,0.010497946535005768,0.7258286040645409,0.5657401076919503,0.4255002042615852,0.30177535302763103,0.1407859176120242,0.05428310863503784,0.0,0.817734006062503,0.6106055755131943,0.43170772978914407,0.2922892308043565,0.20523305404921066,0.05868416634038535,0.05335071342832906,0.433743298470434,0.2601667546784789,0.17096209384827407,0.09360967626291775,0.07299270933429404,0.1710250991360544,0.1370398753952393,0.09415055245839353,0.28425937718692185,0.23466451558699875,0.18048321063636513,0.44322272852650124,0.34216459786563286,0.281328054366857
ID_14,0.22319383325225756,0.31901374880451194,0.40513868989728913,0.5542077728447155,0.6603880621258575,0.7500915122817877,0.8119317945919535,0.09242916798316254,0.25723370925935496,0.40576750031026687,0.5287806389683611,0.6799955858554304,0.7640802037340712,0.817734006062503,0.0,0.22713121270383038,0.4463946159504802,0.6015979864665031,0.6956044998241059,0.8343702718234433,0.8501923683848521,0.5605591644292507,0.6706739587724236,0.7538753857157999,0.8538845816437558,0.8608927863370665,0.8573897125844473,0.8666057870054259,0.8672212060249334,0.8811909783103024,0.8804478075992278,0.8820864804132276,0.9739000732471949,0.924118820825136,0.8991532894861711
ID_15,0.11839979763313331,0.1459818638876287,0.21067912737387645,0.3519843294006001,0.45676175689816023,0.5439479786679521,0.6057798693637371,0.14944696541342664,0.0558515381419622,0.18664065072796115,0.31226202596809144,0.4704076607459738,0.5564826101967543,0.6106055755131943,0.22713121270383038,0.0,0.21928483549786915,0.375664144511556,0.4719327224105149,0.6216450027751071,0.6389460550675894,0.33858282289877567,0.44441878055360545,0.5309770459711203,0.6377980276298109,0.6477268487084504,0.6345862533928031,0.6466669222643746,0.6518183730352372,0.6542598984618181,0.6547459978265464,0.6592830073704539,0.7487221764317898,0.6970900397745792,0.6723927999380236
ID_16,0.27895996074293294,0.20511720863739527,0.165243180721832,0.21385063177991911,0.2965388993591154,0.3706437111386948,0.42891776095167017,0.36566409557494767,0.20088383769592577,0.08790803148715884,0.14196868816908742,0.2955323880343075,0.3795185156781519,0.43170772978914407,0.4463946159504802,0.21928483549786915,0.0,0.16145019978554934,0.26256282404123543,0.43183735172142607,0.4513143378346411,0.1391198696989237,0.22809755800642034,0.3223773947271873,0.4411229580711694,0.456264641864748,0.424739911763943,0.44236644293278404,0.45607903191489885,0.43561840918897693,0.43879086774143,0.4491813607399934,0.5325551212098597,0.4780587957960288,0.45416282274452374
ID_17,0.41236930635727137,0.3199251407076838,0.24369103105545784,0.17250471323756478,0.19465004213916284,0.2414777596968672,0.2916766858905489,0.5165038833975143,0.3472864418510638,0.2016847676248457,0.11273468076206422,0.17467973963241476,0.2455166107234958,0.2922892308043565,0.6015979864665031,0.375664144511556,0.16145019978554934,0.0,0.10238650708915051,0.2824400535583351,0.3030708915908426,0.14729740381582088,0.06946735325282413,0.16186171153065163,0.2862146550477372,0.30482346036758967,0.2635370469187402,0.2829133328068554,0.3015253677518876,0.2818864743110491,0.27928785827842806,0.28793392353924313,0.4004828225940208,0.33078469506960395,0.2988923303321778
ID_18,0.49629828878020305,0.3991193405100009,0.31508300891127977,0.1988958537195852,0.1615620276599425,0.16917494816279102,0.2067839355959385,0.6081551957707695,0.4389205711120976,0.2904466288508882,0.1755848521495103,0.12602789980914417,0.16739530465452782,0.20523305404921066,0.6956044998241059,0.4719327224105149,0.26256282404123543,0.10238650708915051,0.0,0.18657943246558914,0.20762092553943307,0.2334991272712921,0.05556277622541348,0.06021246236724881,0.18602784833718913,0.2068007911019063,0.1635365820807267,0.18097298294076317,0.20141028953868356,0.20467230960340344,0.18889409991193323,0.1882200235671112,0.34781013699617913,0.26185843743558057,0.21774298878241535
ID_19,0.618916325344271,0.5192696364700952,0.4313347922225948,0.28435778691669095,0.18426935933807795,0.10218673206679928,0.06863996607587751,0.7430238306901973,0.5795030948981754,0.435113883311564,0.309552090907447,0.156398172109003,0.08472433909131265,0.05868416634038535,0.8343702718234433,0.6216450027751071,0.43183735172142607,0.2824400535583351,0.18657943246558914,0.0,0.022149627597626675,0.41967396500282167,0.24062599155474385,0.140453115573128,0.03813547770241803,0.026680932454680166,0.12071136648752401,0.08388004874416978,0.04140924839051673,0.23812097233463875,0.1863239025236853,0.128997592170125,0.3977873532971246,0.29553839877900256,0.23369204010648736
ID_20,0.6335591229718378,0.5339953074911503,0.4462264840060761,0.29827289608258334,0.19577900740756005,0.10959947402026064,0.06383802054350847,0.7586111136167598,0.5960215891648614,0.45256395888996465,0.3271555487153746,0.17096302609634761,0.0926188974750374,0.05335071342832906,0.8501923683848521,0.6389460550675894,0.4513143378346411,0.3030708915908426,0.20762092553943307,0.022149627597626675,0.0,0.4405951023401722,0.2617296613859775,0.16155772953875436,0.04851846087375788,0.020992634346644907,0.13455054960887486,0.09469377002033734,0.0443834553910681,0.25193602032849033,0.1991406579905915,0.13967300034787294,0.4097598034210784,0.30782757650689274,0.24618523960204258
ID_22,0.4140234702158834,0.3431570103240457,0.2958493897110201,0.29160680879595324,0.33698108129716775,0.38579529371394156,0.43356232864699695,0.4878709692648585,0.3319637495253415,0.22407603845599441,0.21678866816257467,0.32027787956698284,0.3893650056997915,0.433743298470434,0.5605591644292507,0.33858282289877567,0.1391198696989237,0.14729740381582088,0.2334991272712921,0.41967396500282167,0.4405951023401722,0.0,0.1804387076175566,0.2858494832694659,0.41727835022492377,0.43956560335993033,0.3749630238763276,0.40416428304461577,0.43265675055709896,0.34968582393094094,0.3684649585953176,0.3971283890457306,0.41633118830134075,0.37964075477513304,0.37076747936324156
ID_23,0.48110442878194015,0.38747278305547456,0.308577366572289,0.21511959093647662,0.20230409142755976,0.22222887163839702,0.26153918576394986,0.5858456895466768,0.4166381949966321,0.270810447733963,0.17184829399498522,0.17147216651882782,0.22162804854503615,0.2601667546784789,0.6706739587724236,0.44441878055360545,0.22809755800642034,0.06946735325282413,0.05556277622541348,0.24062599155474385,0.2617296613859775,0.1804387076175566,0.0,0.10573793639378908,0.2370425884970188,0.2596873783862142,0.20121587062403476,0.22594676142522294,0.25243481503506077,0.21272943055335358,0.21111700872466826,0.224979166057725,0.3371182794651475,0.2628441979011386,0.2297432015180819
ID_24,0.5518153992749774,0.4536819525842807,0.3680260428673107,0.2408406687061544,0.17888641529645743,0.15443316876399277,0.17503435355789074,0.6658025043500448,0.49689315648105026,0.3482567374935105,0.22962880594082358,0.13920677511939553,0.14668180699145497,0.17096209384827407,0.7538753857157999,0.5309770459711203,0.3223773947271873,0.16186171153065163,0.06021246236724881,0.140453115573128,0.16155772953875436,0.2858494832694659,0.10573793639378908,0.0,0.13207885702107638,0.15664874133846612,0.10391277643546751,0.12151089690299884,0.14743052987642416,0.16463567237554538,0.13749994750872901,0.1286917345623872,0.32021638680997483,0.22553725335074,0.17336738094895818
ID_25,0.6411698651644138,0.5414671162102431,0.45344027938289305,0.3087498472367624,0.2127042773082794,0.13498943076627776,0.1035096333538917,0.763172830829618,0.5977469378123118,0.45137700784327056,0.3261317580903992,0.18097600553661686,0.1176923379681187,0.09360967626291775,0.8538845816437558,0.6377980276298109,0.4411229580711694,0.2862146550477372,0.18602784833718913,0.03813547770241803,0.04851846087375788,0.41727835022492377,0.2370425884970188,0.13207885702107638,0.0,0.03147900441147433,0.0872413093744761,0.04695059949694393,0.015597490080839117,0.20554375374896897,0.15220209657007655,0.092432401831716,0.3637995418731743,0.2613505297751797,0.1993411393016052
ID_26,0.6455643629520367,0.5458971985669001,0.4579472890982563,0.31090483679251824,0.21027303018177354,0.12615133553380542,0.08342996619752249,0.7695886175281652,0.6058658847122813,0.46115393601504634,0.335570179975836,0.18283739684352615,0.10881074645095389,0.07299270933429404,0.8608927863370665,0.6477268487084504,0.456264641864748,0.30482346036758967,0.2068007911019063,0.026680932454680166,0.020992634346644907,0.43956560335993033,0.2596873783862142,0.15664874133846612,0.03147900441147433,0.0,0.11774102396265432,0.07620093046758226,0.023889979644960774,0.23530877723078947,0.18171148868210937,0.12090066080642209,0.3922048824384413,0.29021282993703335,0.2285390542600925
ID_29,0.6539163516403065,0.5552757753122455,0.4687067171579544,0.3344301716317412,0.2539593497489433,0.19448182154537227,0.17938082852512813,0.7690919238567204,0.6003956314888989,0.45177510685619143,0.3317451236103701,0.21596583002781,0.17955840178798113,0.1710250991360544,0.8573897125844473,0.6345862533928031,0.424739911763943,0.2635370469187402,0.1635365820807267,0.12071136648752401,0.13455054960887486,0.3749630238763276,0.20121587062403476,0.10391277643546751,0.0872413093744761,0.11774102396265432,0.0,0.04367787148354049,0.09627327327806205,0.11894439045382263,0.06624489690689996,0.024856407327897508,0.2791614943229352,0.17610436784357972,0.11369675288462519
ID_30,0.6582622929161187,0.5588573595215486,0.4712473657105804,0.33094898508016707,0.24164521403801206,0.17149588678684213,0.14634438605839029,0.7770020092228171,0.6095711780923251,0.46152424420578714,0.3381813219513014,0.20622980693601045,0.15503112263634963,0.1370398753952393,0.8666057870054259,0.6466669222643746,0.44236644293278404,0.2829133328068554,0.18097298294076317,0.08388004874416978,0.09469377002033734,0.40416428304461577,0.22594676142522294,0.12151089690299884,0.04695059949694393,0.07620093046758226,0.04367787148354049,0.0,0.05354179008587102,0.16080151097236509,0.1064739616009009,0.045534200868904785,0.31815612688154216,0.21546827803748464,0.1533046906338482
ID_31,0.653750437214388,0.5540489755762683,0.4660143749893861,0.3205244082135514,0.2227623247953843,0.14209997109754235,0.10439966748466208,0.7763380275032624,0.6113320067166614,0.46531641381832056,0.33992215403670967,0.1924290274781927,0.12466194595742866,0.09415055245839353,0.8672212060249334,0.6518183730352372,0.45607903191489885,0.3015253677518876,0.20141028953868356,0.04140924839051673,0.0443834553910681,0.43265675055709896,0.25243481503506077,0.14743052987642416,0.015597490080839117,0.023889979644960774,0.09627327327806205,0.05354179008587102,0.0,0.21371873375814643,0.15957093249176915,0.09786376975239543,0.3700938007835216,0.26795791947992936,0.20620411801581678
ID_33,0.6933777985435391,0.5987046860677262,0.517172505964888,0.4014712157992509,0.3407820989841718,0.29808855274476737,0.2915619210704972,0.7975631360710173,0.6286652541837084,0.48324741243128305,0.37782773850276835,0.30172031947577443,0.2856345858653337,0.28425937718692185,0.8811909783103024,0.6542598984618181,0.43561840918897693,0.2818864743110491,0.20467230960340344,0.23812097233463875,0.25193602032849033,0.34968582393094094,0.21272943055335358,0.16463567237554538,0.20554375374896897,0.23530877723078947,0.11894439045382263,0.16080151097236509,0.21371873375814643,0.0,0.05526480417609262,0.1190862828038141,0.1631821498901271,0.06211106690716797,0.022368126772939916
ID_34,0.6847354470947858,0.5877961366685805,0.5034267953426184,0.3779307578447317,0.3069200986330917,0.2549764464314518,0.2426090926526421,0.794424347145917,0.6250404905541278,0.4772775688514155,0.3639916685382511,0.26801356624157374,0.2411258355303936,0.23466451558699875,0.8804478075992278,0.6547459978265464,0.43879086774143,0.27928785827842806,0.18889409991193323,0.1863239025236853,0.1991406579905915,0.3684649585953176,0.21111700872466826,0.13749994750872901,0.15220209657007655,0.18171148868210937,0.06624489690689996,0.1064739616009009,0.15957093249176915,0.05526480417609262,0.0,0.0638430239068121,0.2133609945497377,0.11009928050664632,0.0475506769594287
ID_35,0.6783925371211184,0.5796793456957852,0.4929790149071507,0.35770891660068344,0.2748497939345479,0.21086963543173312,0.1893816905511951,0.7937565066829105,0.62510058107486,0.4764829368963735,0.3562733860349814,0.23753248865029997,0.19521369977673098,0.18048321063636513,0.8820864804132276,0.6592830073704539,0.4491813607399934,0.28793392353924313,0.1882200235671112,0.128997592170125,0.13967300034787294,0.3971283890457306,0.224979166057725,0.1286917345623872,0.092432401831716,0.12090066080642209,0.024856407327897508,0.045534200868904785,0.09786376975239543,0.1190862828038141,0.0638430239068121,0.0,0.2741660603803884,0.17145188445797158,0.1094023601596995
ID_36,0.8059572384529577,0.7174883649014121,0.6428777934308435,0.5444202711876708,0.49533740742902527,0.45782057180598984,0.45046153420337276,0.8969478740983655,0.732582701125424,0.5962578156053269,0.5083365602543914,0.45703926132338085,0.44589825862950766,0.44322272852650124,0.9739000732471949,0.7487221764317898,0.5325551212098597,0.4004828225940208,0.34781013699617913,0.3977873532971246,0.4097598034210784,0.41633118830134075,0.3371182794651475,0.32021638680997483,0.3637995418731743,0.3922048824384413,0.2791614943229352,0.31815612688154216,0.3700938007835216,0.1631821498901271,0.2133609945497377,0.2741660603803884,0.0,0.10345278310597786,0.16635060917676725
ID_37,0.7426024089647797,0.6497344017369847,0.5702145929604101,0.45959542837074774,0.40168787487504165,0.3587951961326141,0.3496772270107919,0.8425720120126263,0.674708409960151,0.5317840511939362,0.43182904959578206,0.3628047563009866,0.3461479800183089,0.34216459786563286,0.924118820825136,0.6970900397745792,0.4780587957960288,0.33078469506960395,0.26185843743558057,0.29553839877900256,0.30782757650689274,0.37964075477513304,0.2628441979011386,0.22553725335074,0.2613505297751797,0.29021282993703335,0.17610436784357972,0.21546827803748464,0.26795791947992936,0.06211106690716797,0.11009928050664632,0.17145188445797158,0.10345278310597786,0.0,0.06291077287937774
ID_38,0.7094260464171374,0.6141035891671676,0.5316845909746455,0.41266347505231216,0.3477040143820732,0.30002536030251603,0.2890851610423521,0.8149656455008352,0.6458907720772372,0.49978070037831046,0.39205984498834184,0.3086606896284753,0.28673140144776404,0.281328054366857,0.8991532894861711,0.6723927999380236,0.45416282274452374,0.2988923303321778,0.21774298878241535,0.23369204010648736,0.24618523960204258,0.37076747936324156,0.2297432015180819,0.17336738094895818,0.1993411393016052,0.2285390542600925,0.11369675288462519,0.1533046906338482,0.20620411801581678,0.022368126772939916,0.0475506769594287,0.1094023601596995,0.16635060917676725,0.06291077287937774,0.0
